student@fit-vm:~/Desktop/Week6/LAB03$ gcc fork2.c -o fork
student@fit-vm:~/Desktop/Week6/LAB03$ ./fork
Message from P at the 0th iteration
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0   15962       2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:1-events_unbound
1 I     0   15963       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0-events
0 S  1001   15978   10108  0  80   0 -  2654 do_wai pts/1    00:00:00 bash
0 S  1001   15990    1409  1  80   0 - 205540 poll_s ?       00:00:01 pluma
0 S   998   16005     820  0  80   - -  1009 -      ?        00:00:00 bash
0 S  1001   16033   15978  0  80   0 -   624 do_wai pts/1    00:00:00 fork
1 S  1001   16034   16033  0  80   0 -   591 do_wai pts/1    00:00:00 fork
0 S  1001   16035   16034  0  80   0 -   654 do_wai pts/1    00:00:00 sh
4 R  1001   16036   16035  0  80   0 -  2855 -      pts/1    00:00:00 ps
Message from C at the 0th iteration
Message from C at the 1th iteration
Message from C at the 2th iteration
Message from C at the 3th iteration
Message from C at the 4th iteration
Message from C at the 5th iteration
Message from C at the 6th iteration
Message from C at the 7th iteration
Message from C at the 8th iteration
Message from C at the 9th iteration



Task 2:
1 S  1001   16034   16033  0  80   0 -   591 do_wai pts/1    00:00:00 fork
0 S  1001   16035   16034  0  80   0 -   654 do_wai pts/1    00:00:00 sh
4 R  1001   16036   16035  0  80   0 -  2855 -      pts/1    00:00:00 ps

a)chile process PID: 16034
b)Parent process ID: 16033
c)16034   16033
  16035   16034  
d)16033 -> 15978 -> 10108 -> 1409 -> 1

exec(): 1.replace the calling process and does not return
		2.can only invoke an executable file
system(): 1.start a new process to execute the program
		  2.can invoke any command

